date,model,variable,RGR,n_assets,perturbation_percentage
2024-08-01,ridge,amihud,0.974291,407,0.05
2024-08-01,ridge,vol_1m,0.968734,407,0.05
2024-08-01,ridge,ret_3m,0.963247,407,0.05
2024-08-01,ridge,ret_6m,0.957595,407,0.05
2024-08-01,ridge,ret_12m,0.946558,407,0.05
2024-08-01,ridge,log_mktcap,0.812182,407,0.05
2024-09-02,ridge,ret_1w,0.999983,407,0.05
2024-09-02,ridge,vol_3m,0.986295,407,0.05
2024-09-02,ridge,vol_ratio,0.9797,407,0.05
2024-09-02,ridge,amihud,0.973506,407,0.05
2024-09-02,ridge,vol_1m,0.969716,407,0.05
2024-09-02,ridge,ret_1m,0.968595,407,0.05
2024-09-02,ridge,ret_3m,0.965791,407,0.05
2024-09-02,ridge,ret_6m,0.960919,407,0.05
2024-09-02,ridge,ret_12m,0.951202,407,0.05
2024-09-02,ridge,log_mktcap,0.809564,407,0.05
2024-10-01,ridge,ret_1w,0.999578,407,0.05
2024-10-01,ridge,vol_3m,0.986008,407,0.05
2024-10-01,ridge,vol_ratio,0.978257,407,0.05
2024-10-01,ridge,ret_1m,0.968514,407,0.05
2024-10-01,ridge,vol_1m,0.967918,407,0.05
2024-10-01,ridge,amihud,0.967593,407,0.05
2024-10-01,ridge,ret_6m,0.96101,407,0.05
2024-10-01,ridge,ret_3m,0.960935,407,0.05
2024-10-01,ridge,ret_12m,0.950979,407,0.05
2024-10-01,ridge,log_mktcap,0.828965,407,0.05
2024-11-01,ridge,ret_1w,0.999365,407,0.05
2024-11-01,ridge,vol_3m,0.989185,407,0.05
2024-11-01,ridge,amihud,0.982375,407,0.05
2024-11-01,ridge,vol_ratio,0.975205,407,0.05
2024-11-01,ridge,ret_6m,0.974502,407,0.05
2024-11-01,ridge,ret_1m,0.974421,407,0.05
2024-11-01,ridge,vol_1m,0.966017,407,0.05
2024-11-01,ridge,ret_12m,0.963108,407,0.05
2024-11-01,ridge,ret_3m,0.958614,407,0.05
2024-11-01,ridge,log_mktcap,0.798662,407,0.05
2024-12-02,ridge,ret_1w,0.999328,407,0.05
2024-12-02,ridge,vol_3m,0.994382,407,0.05
2024-12-02,ridge,amihud,0.984741,407,0.05
2024-12-02,ridge,ret_1m,0.977161,407,0.05
2024-12-02,ridge,vol_ratio,0.976547,407,0.05
2024-12-02,ridge,vol_1m,0.972902,407,0.05
2024-12-02,ridge,ret_12m,0.968834,407,0.05
2024-12-02,ridge,ret_3m,0.96479,407,0.05
2024-12-02,ridge,ret_6m,0.964637,407,0.05
2024-12-02,ridge,log_mktcap,0.766515,407,0.05
2025-01-01,ridge,ret_1w,0.999437,407,0.05
2025-01-01,ridge,vol_3m,0.994105,407,0.05
2025-01-01,ridge,amihud,0.991629,407,0.05
2025-01-01,ridge,ret_1m,0.980202,407,0.05
2025-01-01,ridge,vol_ratio,0.9767,407,0.05
2025-01-01,ridge,vol_1m,0.974038,407,0.05
2025-01-01,ridge,ret_12m,0.97149,407,0.05
2025-01-01,ridge,ret_3m,0.967176,407,0.05
2025-01-01,ridge,ret_6m,0.942636,407,0.05
2025-01-01,ridge,log_mktcap,0.735279,407,0.05
2025-02-03,ridge,ret_1w,0.998032,407,0.05
2025-02-03,ridge,vol_3m,0.995706,407,0.05
2025-02-03,ridge,amihud,0.984984,407,0.05
2025-02-03,ridge,ret_1m,0.976664,407,0.05
2025-02-03,ridge,ret_12m,0.971184,407,0.05
2025-02-03,ridge,vol_ratio,0.969456,407,0.05
2025-02-03,ridge,ret_3m,0.968674,407,0.05
2025-02-03,ridge,vol_1m,0.964952,407,0.05
2025-02-03,ridge,ret_6m,0.951669,407,0.05
2025-02-03,ridge,log_mktcap,0.784896,407,0.05
2025-03-03,ridge,ret_1w,0.999553,407,0.05
2025-03-03,ridge,vol_3m,0.990191,407,0.05
2025-03-03,ridge,vol_ratio,0.979341,407,0.05
2025-03-03,ridge,amihud,0.978155,407,0.05
2025-03-03,ridge,ret_12m,0.977458,407,0.05
2025-03-03,ridge,ret_1m,0.973696,407,0.05
2025-03-03,ridge,ret_3m,0.970351,407,0.05
2025-03-03,ridge,vol_1m,0.955407,407,0.05
2025-03-03,ridge,ret_6m,0.946686,407,0.05
2025-03-03,ridge,log_mktcap,0.804595,407,0.05
2025-04-01,ridge,ret_1w,0.999906,407,0.05
2025-04-01,ridge,vol_3m,0.982695,407,0.05
2025-04-01,ridge,amihud,0.979787,407,0.05
2025-04-01,ridge,ret_1m,0.977183,407,0.05
2025-04-01,ridge,ret_6m,0.973945,407,0.05
2025-04-01,ridge,ret_12m,0.97073,407,0.05
2025-04-01,ridge,ret_3m,0.969875,407,0.05
2025-04-01,ridge,vol_ratio,0.967813,407,0.05
2025-04-01,ridge,vol_1m,0.943066,407,0.05
