date,model,variable,RGE,n_assets
2023-01-02,xgboost,ret_1w,0.003516,407
2023-01-02,xgboost,amihud,0.003147,407
2023-01-02,xgboost,ret_6m,0.002766,407
2023-01-02,xgboost,ret_3m,0.002019,407
2023-01-02,xgboost,vol_1m,0.000791,407
2023-01-02,xgboost,vol_3m,0.000598,407
2023-02-01,xgboost,log_mktcap,0.375664,407
2023-02-01,xgboost,ret_12m,0.053083,407
2023-02-01,xgboost,ret_1m,0.044899,407
2023-02-01,xgboost,vol_ratio,0.022711,407
2023-02-01,xgboost,ret_6m,0.022522,407
2023-02-01,xgboost,ret_1w,0.011427,407
2023-02-01,xgboost,amihud,0.008291,407
2023-02-01,xgboost,vol_3m,0.007219,407
2023-02-01,xgboost,ret_3m,0.005939,407
2023-02-01,xgboost,vol_1m,0.002881,407
2023-03-01,xgboost,log_mktcap,0.26224,407
2023-03-01,xgboost,ret_1m,0.081993,407
2023-03-01,xgboost,ret_12m,0.038315,407
2023-03-01,xgboost,vol_ratio,0.00534,407
2023-03-01,xgboost,vol_3m,0.005323,407
2023-03-01,xgboost,ret_3m,0.004519,407
2023-03-01,xgboost,amihud,0.004061,407
2023-03-01,xgboost,ret_6m,0.003932,407
2023-03-01,xgboost,ret_1w,0.003542,407
2023-03-01,xgboost,vol_1m,0.002945,407
2023-04-03,xgboost,log_mktcap,0.282222,407
2023-04-03,xgboost,ret_1m,0.105715,407
2023-04-03,xgboost,ret_12m,0.07458,407
2023-04-03,xgboost,ret_3m,0.047945,407
2023-04-03,xgboost,ret_6m,0.038426,407
2023-04-03,xgboost,ret_1w,0.031885,407
2023-04-03,xgboost,amihud,0.019914,407
2023-04-03,xgboost,vol_ratio,0.019781,407
2023-04-03,xgboost,vol_3m,0.019018,407
2023-04-03,xgboost,vol_1m,0.010825,407
2023-05-01,xgboost,log_mktcap,0.226308,407
2023-05-01,xgboost,ret_1m,0.046512,407
2023-05-01,xgboost,ret_12m,0.045352,407
2023-05-01,xgboost,ret_6m,0.018973,407
2023-05-01,xgboost,ret_3m,0.013207,407
2023-05-01,xgboost,vol_ratio,0.010624,407
2023-05-01,xgboost,ret_1w,0.007555,407
2023-05-01,xgboost,amihud,0.007529,407
2023-05-01,xgboost,vol_3m,0.005517,407
2023-05-01,xgboost,vol_1m,0.003118,407
2023-06-01,xgboost,log_mktcap,0.276497,407
2023-06-01,xgboost,vol_3m,0.10163,407
2023-06-01,xgboost,amihud,0.087412,407
2023-06-01,xgboost,ret_1m,0.082211,407
