model_family,configuration_id,configuration_parameters,compliance_score_arithmetic,compliance_score_geometric,compliance_score_rms,accuracy_score,robustness_score,fairness_score,explainability_score,sharpe,max_drawdown,avg_turnover,ann_return,ann_vol,sortino,calmar
mlp,mlp_12,"layers=(32,),alpha=0.1,lr_init=0.0005,bs=256",0.601135,0.49927,0.637728,0.441887,0.51036,0.81877,0.633521,1.068813,0.25572,0.917516,0.226903,0.212294,1.406053,0.887307
mlp,mlp_13,"layers=(128, 64),alpha=0.1,lr_init=0.005,bs=64",0.551122,0.369254,0.620967,0.451104,0.28755,0.808192,0.657643,0.370232,0.254857,0.842425,0.081865,0.221119,0.509757,0.32122
mlp,mlp_13,"layers=(128, 64),alpha=0.1,lr_init=0.005,bs=64",0.551122,0.369254,0.620967,0.451104,0.28755,0.808192,0.657643,0.370232,0.254857,0.842425,0.081865,0.221119,0.509757,0.32122
mlp,mlp_14,"layers=(128,),alpha=0.001,lr_init=0.0005,bs=64",0.603822,0.502815,0.639304,0.448938,0.52763,0.834609,0.604112,1.772864,0.159836,0.934898,0.312862,0.176473,2.899953,1.957397
mlp,mlp_14,"layers=(128,),alpha=0.001,lr_init=0.0005,bs=64",0.603822,0.502815,0.639304,0.448938,0.52763,0.834609,0.604112,1.772864,0.159836,0.934898,0.312862,0.176473,2.899953,1.957397
mlp,mlp_15,"layers=(64, 32),alpha=0.0001,lr_init=0.001,bs=256",0.607027,0.506102,0.641884,0.449908,0.541009,0.837275,0.599917,0.498404,0.173768,0.967328,0.093261,0.187118,0.700653,0.536696
mlp,mlp_15,"layers=(64, 32),alpha=0.0001,lr_init=0.001,bs=256",0.607027,0.506102,0.641884,0.449908,0.541009,0.837275,0.599917,0.498404,0.173768,0.967328,0.093261,0.187118,0.700653,0.536696
mlp,mlp_16,"layers=(128, 64, 32),alpha=0.01,lr_init=0.0005,bs=256",0.604349,0.502118,0.641257,0.456569,0.51751,0.84306,0.600256,0.985958,0.186389,0.951568,0.18977,0.192473,1.406881,1.018143
mlp,mlp_16,"layers=(128, 64, 32),alpha=0.01,lr_init=0.0005,bs=256",0.604349,0.502118,0.641257,0.456569,0.51751,0.84306,0.600256,0.985958,0.186389,0.951568,0.18977,0.192473,1.406881,1.018143
mlp,mlp_17,"layers=(256,),alpha=0.001,lr_init=0.005,bs=128",0.579923,0.475101,0.621881,0.440696,0.447109,0.815292,0.616597,1.027353,0.19737,0.902768,0.220779,0.214901,1.428255,1.118602
mlp,mlp_17,"layers=(256,),alpha=0.001,lr_init=0.005,bs=128",0.579923,0.475101,0.621881,0.440696,0.447109,0.815292,0.616597,1.027353,0.19737,0.902768,0.220779,0.214901,1.428255,1.118602
mlp,mlp_18,"layers=(32,),alpha=0.001,lr_init=0.005,bs=64",0.578084,0.472367,0.621436,0.445474,0.443147,0.81989,0.603826,1.242818,0.204906,0.919801,0.264913,0.213155,1.764177,1.292854
mlp,mlp_18,"layers=(32,),alpha=0.001,lr_init=0.005,bs=64",0.578084,0.472367,0.621436,0.445474,0.443147,0.81989,0.603826,1.242818,0.204906,0.919801,0.264913,0.213155,1.764177,1.292854
mlp,mlp_19,"layers=(256,),alpha=0.0001,lr_init=0.001,bs=128",0.601611,0.502154,0.635465,0.439934,0.536386,0.813898,0.616227,0.741321,0.177977,0.925345,0.127238,0.171636,1.095211,0.71491
mlp,mlp_19,"layers=(256,),alpha=0.0001,lr_init=0.001,bs=128",0.601611,0.502154,0.635465,0.439934,0.536386,0.813898,0.616227,0.741321,0.177977,0.925345,0.127238,0.171636,1.095211,0.71491
mlp,mlp_20,"layers=(128,),alpha=0.0001,lr_init=0.001,bs=256",0.602726,0.501496,0.638544,0.442323,0.530275,0.837716,0.60059,0.839843,0.158362,0.950057,0.148826,0.177206,1.220363,0.939779
mlp,mlp_20,"layers=(128,),alpha=0.0001,lr_init=0.001,bs=256",0.602726,0.501496,0.638544,0.442323,0.530275,0.837716,0.60059,0.839843,0.158362,0.950057,0.148826,0.177206,1.220363,0.939779
mlp,mlp_21,"layers=(128, 64, 32),alpha=0.001,lr_init=0.0001,bs=256",0.603511,0.503028,0.638433,0.453778,0.533831,0.836124,0.590311,1.629552,0.164679,0.953414,0.287545,0.176456,2.56976,1.746088
mlp,mlp_21,"layers=(128, 64, 32),alpha=0.001,lr_init=0.0001,bs=256",0.603511,0.503028,0.638433,0.453778,0.533831,0.836124,0.590311,1.629552,0.164679,0.953414,0.287545,0.176456,2.56976,1.746088
mlp,mlp_22,"layers=(128, 64),alpha=0.01,lr_init=0.0001,bs=64",0.598413,0.497737,0.634252,0.445569,0.518078,0.827366,0.602637,1.582882,0.211847,0.951643,0.335791,0.212139,2.274748,1.585063
mlp,mlp_22,"layers=(128, 64),alpha=0.01,lr_init=0.0001,bs=64",0.598413,0.497737,0.634252,0.445569,0.518078,0.827366,0.602637,1.582882,0.211847,0.951643,0.335791,0.212139,2.274748,1.585063
mlp,mlp_23,"layers=(256, 128),alpha=0.1,lr_init=0.0005,bs=256",0.589448,0.485582,0.629667,0.44475,0.475648,0.827924,0.609472,0.865339,0.252633,0.906083,0.18994,0.219498,1.091952,0.751842
mlp,mlp_23,"layers=(256, 128),alpha=0.1,lr_init=0.0005,bs=256",0.589448,0.485582,0.629667,0.44475,0.475648,0.827924,0.609472,0.865339,0.252633,0.906083,0.18994,0.219498,1.091952,0.751842
