date,model,model_date,k_removed,n_removed_features,fraction_features_removed,removed_features,RGE_star,n_assets
2024-03-01,ridge,2024-03-01,0,0,0.0,,1.0,407
2024-03-01,ridge,2024-03-01,1,1,0.1,ret_1w,0.999849,407
2024-03-01,ridge,2024-03-01,2,2,0.2,ret_1w;vol_3m,0.99399,407
2024-03-01,ridge,2024-03-01,3,3,0.3,ret_1w;vol_3m;vol_ratio,0.978937,407
2024-03-01,ridge,2024-03-01,4,4,0.4,ret_1w;vol_3m;vol_ratio;vol_1m,0.995692,407
2024-03-01,ridge,2024-03-01,5,5,0.5,ret_1w;vol_3m;vol_ratio;vol_1m;ret_1m,0.970747,407
2024-03-01,ridge,2024-03-01,6,6,0.6,ret_1w;vol_3m;vol_ratio;vol_1m;ret_1m;ret_3m,0.8873,407
2024-03-01,ridge,2024-03-01,7,7,0.7,ret_1w;vol_3m;vol_ratio;vol_1m;ret_1m;ret_3m;amihud,0.863601,407
2024-03-01,ridge,2024-03-01,8,8,0.8,ret_1w;vol_3m;vol_ratio;vol_1m;ret_1m;ret_3m;amihud;ret_12m,0.776715,407
2024-03-01,ridge,2024-03-01,9,9,0.9,ret_1w;vol_3m;vol_ratio;vol_1m;ret_1m;ret_3m;amihud;ret_12m;ret_6m,0.858262,407
2024-03-01,ridge,2024-03-01,10,10,1.0,ret_1w;vol_3m;vol_ratio;vol_1m;ret_1m;ret_3m;amihud;ret_12m;ret_6m;log_mktcap,0.5,407
2024-04-01,ridge,2024-04-01,0,0,0.0,,1.0,407
2024-04-01,ridge,2024-04-01,1,1,0.1,ret_1w,0.999995,407
2024-04-01,ridge,2024-04-01,2,2,0.2,ret_1w;vol_3m,0.994096,407
2024-04-01,ridge,2024-04-01,3,3,0.3,ret_1w;vol_3m;vol_ratio,0.975894,407
2024-04-01,ridge,2024-04-01,4,4,0.4,ret_1w;vol_3m;vol_ratio;vol_1m,0.994558,407
2024-04-01,ridge,2024-04-01,5,5,0.5,ret_1w;vol_3m;vol_ratio;vol_1m;ret_1m,0.967207,407
