date,model,k_removed,n_removed_segments,fraction_data_removed,RGA,random_RGA,n_assets_full,n_assets_remaining
2024-06-03,ridge,1,1,0.1,0.395266,0.51298,407,366
2024-06-03,ridge,2,2,0.2,0.378596,0.51452,407,325
2024-06-03,ridge,3,3,0.3,0.415154,0.524133,407,284
2024-06-03,ridge,4,4,0.4,0.426777,0.535588,407,243
2024-06-03,ridge,5,5,0.5,0.474519,0.557671,407,202
2024-06-03,ridge,6,6,0.6,0.488087,0.556023,407,161
2024-06-03,ridge,7,7,0.7,0.495098,0.586835,407,120
2024-06-03,ridge,8,8,0.8,0.379791,0.564936,407,80
2024-06-03,ridge,9,9,0.9,0.410456,0.517582,407,40
2024-06-03,ridge,10,10,1.0,0.0,0.0,407,0
2024-07-01,ridge,0,0,0.0,0.552855,0.511362,407,407
2024-07-01,ridge,1,1,0.1,0.554824,0.508263,407,366
2024-07-01,ridge,2,2,0.2,0.555172,0.503469,407,325
2024-07-01,ridge,3,3,0.3,0.569061,0.493793,407,284
2024-07-01,ridge,4,4,0.4,0.586379,0.492785,407,243
2024-07-01,ridge,5,5,0.5,0.548856,0.504994,407,202
2024-07-01,ridge,6,6,0.6,0.514502,0.495934,407,161
2024-07-01,ridge,7,7,0.7,0.489399,0.470382,407,120
2024-07-01,ridge,8,8,0.8,0.529385,0.491557,407,80
2024-07-01,ridge,9,9,0.9,0.427281,0.525543,407,40
2024-07-01,ridge,10,10,1.0,0.0,0.0,407,0
2024-08-01,ridge,0,0,0.0,0.447911,0.502159,407,407
2024-08-01,ridge,1,1,0.1,0.453992,0.499943,407,366
2024-08-01,ridge,2,2,0.2,0.469966,0.508648,407,325
2024-08-01,ridge,3,3,0.3,0.485929,0.493765,407,284
2024-08-01,ridge,4,4,0.4,0.457166,0.489291,407,243
2024-08-01,ridge,5,5,0.5,0.43809,0.509241,407,202
2024-08-01,ridge,6,6,0.6,0.453003,0.512172,407,161
2024-08-01,ridge,7,7,0.7,0.486879,0.51195,407,120
2024-08-01,ridge,8,8,0.8,0.562404,0.536741,407,80
2024-08-01,ridge,9,9,0.9,0.510397,0.491476,407,40
2024-08-01,ridge,10,10,1.0,0.0,0.0,407,0
2024-09-02,ridge,0,0,0.0,0.540336,0.521399,407,407
2024-09-02,ridge,1,1,0.1,0.535627,0.522402,407,366
2024-09-02,ridge,2,2,0.2,0.518933,0.523532,407,325
2024-09-02,ridge,3,3,0.3,0.498857,0.509885,407,284
2024-09-02,ridge,4,4,0.4,0.494116,0.516753,407,243
2024-09-02,ridge,5,5,0.5,0.47823,0.526096,407,202
2024-09-02,ridge,6,6,0.6,0.483629,0.529994,407,161
2024-09-02,ridge,7,7,0.7,0.461732,0.555342,407,120
2024-09-02,ridge,8,8,0.8,0.454651,0.554659,407,80
2024-09-02,ridge,9,9,0.9,0.503748,0.525109,407,40
2024-09-02,ridge,10,10,1.0,0.0,0.0,407,0
2024-10-01,ridge,0,0,0.0,0.473749,0.500263,407,407
2024-10-01,ridge,1,1,0.1,0.480783,0.50807,407,366
2024-10-01,ridge,2,2,0.2,0.493318,0.491556,407,325
2024-10-01,ridge,3,3,0.3,0.455467,0.490702,407,284
2024-10-01,ridge,4,4,0.4,0.457565,0.506626,407,243
2024-10-01,ridge,5,5,0.5,0.473166,0.519224,407,202
2024-10-01,ridge,6,6,0.6,0.501631,0.536199,407,161
2024-10-01,ridge,7,7,0.7,0.507346,0.537107,407,120
2024-10-01,ridge,8,8,0.8,0.540442,0.544494,407,80
2024-10-01,ridge,9,9,0.9,0.489656,0.591982,407,40
2024-10-01,ridge,10,10,1.0,0.0,0.0,407,0
2024-11-01,ridge,0,0,0.0,0.394148,0.518601,407,407
2024-11-01,ridge,1,1,0.1,0.41707,0.534542,407,366
2024-11-01,ridge,2,2,0.2,0.434829,0.507577,407,325
2024-11-01,ridge,3,3,0.3,0.440278,0.49279,407,284
2024-11-01,ridge,4,4,0.4,0.435238,0.496413,407,243
2024-11-01,ridge,5,5,0.5,0.438439,0.518812,407,202
2024-11-01,ridge,6,6,0.6,0.401024,0.529694,407,161
2024-11-01,ridge,7,7,0.7,0.350544,0.555655,407,120
2024-11-01,ridge,8,8,0.8,0.32613,0.494702,407,80
2024-11-01,ridge,9,9,0.9,0.371305,0.465683,407,40
2024-11-01,ridge,10,10,1.0,0.0,0.0,407,0
2024-12-02,ridge,0,0,0.0,0.485786,0.51198,407,407
2024-12-02,ridge,1,1,0.1,0.459479,0.521212,407,366
2024-12-02,ridge,2,2,0.2,0.461195,0.515903,407,325
2024-12-02,ridge,3,3,0.3,0.440298,0.515406,407,284
2024-12-02,ridge,4,4,0.4,0.438739,0.532115,407,243
2024-12-02,ridge,5,5,0.5,0.470015,0.51493,407,202
2024-12-02,ridge,6,6,0.6,0.458835,0.509182,407,161
2024-12-02,ridge,7,7,0.7,0.457845,0.543395,407,120
2024-12-02,ridge,8,8,0.8,0.503291,0.541515,407,80
2024-12-02,ridge,9,9,0.9,0.47473,0.524656,407,40
2024-12-02,ridge,10,10,1.0,0.0,0.0,407,0
2025-01-01,ridge,0,0,0.0,0.477216,0.513687,407,407
2025-01-01,ridge,1,1,0.1,0.473645,0.523529,407,366
2025-01-01,ridge,2,2,0.2,0.476467,0.515767,407,325
2025-01-01,ridge,3,3,0.3,0.466384,0.514563,407,284
2025-01-01,ridge,4,4,0.4,0.489301,0.5059,407,243
2025-01-01,ridge,5,5,0.5,0.528229,0.495675,407,202
2025-01-01,ridge,6,6,0.6,0.509585,0.492676,407,161
2025-01-01,ridge,7,7,0.7,0.4948,0.47876,407,120
2025-01-01,ridge,8,8,0.8,0.527476,0.461022,407,80
2025-01-01,ridge,9,9,0.9,0.610543,0.400319,407,40
2025-01-01,ridge,10,10,1.0,0.0,0.0,407,0
2025-02-03,ridge,0,0,0.0,0.462906,0.514238,407,407
2025-02-03,ridge,1,1,0.1,0.465475,0.500442,407,366
2025-02-03,ridge,2,2,0.2,0.469582,0.495049,407,325
2025-02-03,ridge,3,3,0.3,0.453465,0.502919,407,284
2025-02-03,ridge,4,4,0.4,0.447041,0.509972,407,243
2025-02-03,ridge,5,5,0.5,0.453086,0.501417,407,202
2025-02-03,ridge,6,6,0.6,0.473407,0.509647,407,161
2025-02-03,ridge,7,7,0.7,0.407958,0.499626,407,120
2025-02-03,ridge,8,8,0.8,0.365171,0.49555,407,80
2025-02-03,ridge,9,9,0.9,0.445733,0.565372,407,40
2025-02-03,ridge,10,10,1.0,0.0,0.0,407,0
2025-03-03,ridge,0,0,0.0,0.436632,0.532835,407,407
2025-03-03,ridge,1,1,0.1,0.459049,0.536238,407,366
2025-03-03,ridge,2,2,0.2,0.449493,0.524688,407,325
2025-03-03,ridge,3,3,0.3,0.424989,0.512387,407,284
2025-03-03,ridge,4,4,0.4,0.428669,0.525949,407,243
2025-03-03,ridge,5,5,0.5,0.461294,0.522647,407,202
2025-03-03,ridge,6,6,0.6,0.428339,0.50793,407,161
2025-03-03,ridge,7,7,0.7,0.397416,0.506303,407,120
2025-03-03,ridge,8,8,0.8,0.46557,0.530379,407,80
2025-03-03,ridge,9,9,0.9,0.465752,0.571925,407,40
2025-03-03,ridge,10,10,1.0,0.0,0.0,407,0
2025-04-01,ridge,0,0,0.0,0.461583,0.526186,407,407
2025-04-01,ridge,1,1,0.1,0.455754,0.525984,407,366
2025-04-01,ridge,2,2,0.2,0.45636,0.532898,407,325
2025-04-01,ridge,3,3,0.3,0.461449,0.548634,407,284
2025-04-01,ridge,4,4,0.4,0.482359,0.549642,407,243
2025-04-01,ridge,5,5,0.5,0.501727,0.560336,407,202
2025-04-01,ridge,6,6,0.6,0.498667,0.573466,407,161
2025-04-01,ridge,7,7,0.7,0.448502,0.525706,407,120
2025-04-01,ridge,8,8,0.8,0.488642,0.540923,407,80
2025-04-01,ridge,9,9,0.9,0.503805,0.51686,407,40
2025-04-01,ridge,10,10,1.0,0.0,0.0,407,0
2025-05-01,ridge,0,0,0.0,0.527583,0.486433,407,407
2025-05-01,ridge,1,1,0.1,0.499589,0.490138,407,366
2025-05-01,ridge,2,2,0.2,0.505993,0.494049,407,325
2025-05-01,ridge,3,3,0.3,0.482773,0.512485,407,284
2025-05-01,ridge,4,4,0.4,0.507481,0.486229,407,243
2025-05-01,ridge,5,5,0.5,0.495955,0.505646,407,202
2025-05-01,ridge,6,6,0.6,0.530879,0.50067,407,161
2025-05-01,ridge,7,7,0.7,0.508977,0.483427,407,120
2025-05-01,ridge,8,8,0.8,0.482815,0.527284,407,80
2025-05-01,ridge,9,9,0.9,0.597905,0.499532,407,40
2025-05-01,ridge,10,10,1.0,0.0,0.0,407,0
2025-06-02,ridge,0,0,0.0,0.477861,0.546104,407,407
2025-06-02,ridge,1,1,0.1,0.453707,0.541337,407,366
2025-06-02,ridge,2,2,0.2,0.436646,0.542907,407,325
2025-06-02,ridge,3,3,0.3,0.433372,0.552339,407,284
2025-06-02,ridge,4,4,0.4,0.453228,0.559477,407,243
2025-06-02,ridge,5,5,0.5,0.432614,0.537382,407,202
2025-06-02,ridge,6,6,0.6,0.369062,0.533463,407,161
2025-06-02,ridge,7,7,0.7,0.302565,0.520117,407,120
2025-06-02,ridge,8,8,0.8,0.287583,0.453797,407,80
2025-06-02,ridge,9,9,0.9,0.411852,0.584645,407,40
2025-06-02,ridge,10,10,1.0,0.0,0.0,407,0
2025-07-01,ridge,0,0,0.0,0.417234,0.512894,407,407
2025-07-01,ridge,1,1,0.1,0.423773,0.50558,407,366
2025-07-01,ridge,2,2,0.2,0.416104,0.515739,407,325
2025-07-01,ridge,3,3,0.3,0.409991,0.524175,407,284
2025-07-01,ridge,4,4,0.4,0.4043,0.524501,407,243
2025-07-01,ridge,5,5,0.5,0.418195,0.516831,407,202
2025-07-01,ridge,6,6,0.6,0.456769,0.543071,407,161
2025-07-01,ridge,7,7,0.7,0.421523,0.527435,407,120
2025-07-01,ridge,8,8,0.8,0.401246,0.560424,407,80
2025-07-01,ridge,9,9,0.9,0.374292,0.533626,407,40
2025-07-01,ridge,10,10,1.0,0.0,0.0,407,0
2025-08-01,ridge,0,0,0.0,0.538918,0.481963,407,407
2025-08-01,ridge,1,1,0.1,0.515565,0.468996,407,366
2025-08-01,ridge,2,2,0.2,0.510255,0.470479,407,325
2025-08-01,ridge,3,3,0.3,0.518439,0.474484,407,284
2025-08-01,ridge,4,4,0.4,0.518069,0.466466,407,243
2025-08-01,ridge,5,5,0.5,0.501464,0.457533,407,202
2025-08-01,ridge,6,6,0.6,0.471857,0.450962,407,161
2025-08-01,ridge,7,7,0.7,0.44811,0.431384,407,120
2025-08-01,ridge,8,8,0.8,0.435837,0.436905,407,80
2025-08-01,ridge,9,9,0.9,0.552375,0.462069,407,40
2025-08-01,ridge,10,10,1.0,0.0,0.0,407,0
2025-09-01,ridge,0,0,0.0,0.472143,0.489497,407,407
2025-09-01,ridge,1,1,0.1,0.481203,0.493109,407,366
2025-09-01,ridge,2,2,0.2,0.455256,0.490831,407,325
2025-09-01,ridge,3,3,0.3,0.499399,0.504103,407,284
2025-09-01,ridge,4,4,0.4,0.505754,0.504488,407,243
2025-09-01,ridge,5,5,0.5,0.499255,0.507659,407,202
2025-09-01,ridge,6,6,0.6,0.472117,0.511254,407,161
2025-09-01,ridge,7,7,0.7,0.433593,0.520568,407,120
2025-09-01,ridge,8,8,0.8,0.366838,0.525703,407,80
2025-09-01,ridge,9,9,0.9,0.297084,0.598486,407,40
2025-09-01,ridge,10,10,1.0,0.0,0.0,407,0
2025-10-01,ridge,0,0,0.0,0.488612,0.514459,407,407
2025-10-01,ridge,1,1,0.1,0.481123,0.515408,407,366
2025-10-01,ridge,2,2,0.2,0.476079,0.543181,407,325
2025-10-01,ridge,3,3,0.3,0.497145,0.542384,407,284
2025-10-01,ridge,4,4,0.4,0.525134,0.519645,407,243
2025-10-01,ridge,5,5,0.5,0.508652,0.510987,407,202
2025-10-01,ridge,6,6,0.6,0.505812,0.513348,407,161
2025-10-01,ridge,7,7,0.7,0.523444,0.48806,407,120
2025-10-01,ridge,8,8,0.8,0.491224,0.543686,407,80
2025-10-01,ridge,9,9,0.9,0.538247,0.574744,407,40
2025-10-01,ridge,10,10,1.0,0.0,0.0,407,0
2025-11-03,ridge,0,0,0.0,0.513209,0.472036,407,407
2025-11-03,ridge,1,1,0.1,0.508611,0.443079,407,366
2025-11-03,ridge,2,2,0.2,0.518286,0.432969,407,325
2025-11-03,ridge,3,3,0.3,0.538667,0.426176,407,284
2025-11-03,ridge,4,4,0.4,0.547891,0.447656,407,243
2025-11-03,ridge,5,5,0.5,0.563833,0.458469,407,202
2025-11-03,ridge,6,6,0.6,0.558554,0.449245,407,161
2025-11-03,ridge,7,7,0.7,0.490522,0.43794,407,120
2025-11-03,ridge,8,8,0.8,0.495552,0.464451,407,80
2025-11-03,ridge,9,9,0.9,0.451841,0.599333,407,40
2025-11-03,ridge,10,10,1.0,0.0,0.0,407,0
2025-12-01,ridge,0,0,0.0,0.533124,0.494509,407,407
2025-12-01,ridge,1,1,0.1,0.545298,0.504069,407,366
2025-12-01,ridge,2,2,0.2,0.563237,0.501525,407,325
2025-12-01,ridge,3,3,0.3,0.560883,0.497444,407,284
2025-12-01,ridge,4,4,0.4,0.547404,0.496139,407,243
2025-12-01,ridge,5,5,0.5,0.551098,0.497217,407,202
2025-12-01,ridge,6,6,0.6,0.5434,0.477996,407,161
2025-12-01,ridge,7,7,0.7,0.549199,0.500486,407,120
2025-12-01,ridge,8,8,0.8,0.527345,0.50091,407,80
2025-12-01,ridge,9,9,0.9,0.483616,0.517151,407,40
2025-12-01,ridge,10,10,1.0,0.0,0.0,407,0
2023-01-02,xgboost,0,0,0.0,0.695319,0.501909,407,407
2023-01-02,xgboost,1,1,0.1,0.654696,0.50481,407,366
2023-01-02,xgboost,2,2,0.2,0.696736,0.512339,407,325
