date,model,group,perturbation_percentage,RGR,n_assets,model_date
2024-06-03,ridge,all_features,0.45,0.003745,407,2024-06-03
2024-06-03,ridge,all_features,0.5,0.0,407,2024-06-03
2024-07-01,ridge,all_features,0.0,1.0,407,2024-07-01
2024-07-01,ridge,all_features,0.05,0.720021,407,2024-07-01
2024-07-01,ridge,all_features,0.1,0.562959,407,2024-07-01
2024-07-01,ridge,all_features,0.15,0.408998,407,2024-07-01
2024-07-01,ridge,all_features,0.2,0.316748,407,2024-07-01
2024-07-01,ridge,all_features,0.25,0.220637,407,2024-07-01
2024-07-01,ridge,all_features,0.3,0.136433,407,2024-07-01
2024-07-01,ridge,all_features,0.35,0.074284,407,2024-07-01
2024-07-01,ridge,all_features,0.4,0.029032,407,2024-07-01
2024-07-01,ridge,all_features,0.45,0.003759,407,2024-07-01
2024-07-01,ridge,all_features,0.5,0.0,407,2024-07-01
2024-08-01,ridge,all_features,0.0,1.0,407,2024-08-01
2024-08-01,ridge,all_features,0.05,0.745365,407,2024-08-01
2024-08-01,ridge,all_features,0.1,0.604755,407,2024-08-01
2024-08-01,ridge,all_features,0.15,0.458357,407,2024-08-01
2024-08-01,ridge,all_features,0.2,0.339899,407,2024-08-01
2024-08-01,ridge,all_features,0.25,0.230218,407,2024-08-01
2024-08-01,ridge,all_features,0.3,0.129331,407,2024-08-01
2024-08-01,ridge,all_features,0.35,0.072422,407,2024-08-01
2024-08-01,ridge,all_features,0.4,0.024836,407,2024-08-01
2024-08-01,ridge,all_features,0.45,0.003532,407,2024-08-01
2024-08-01,ridge,all_features,0.5,0.0,407,2024-08-01
2024-09-02,ridge,all_features,0.0,1.0,407,2024-09-02
2024-09-02,ridge,all_features,0.05,0.722179,407,2024-09-02
2024-09-02,ridge,all_features,0.1,0.551329,407,2024-09-02
2024-09-02,ridge,all_features,0.15,0.436815,407,2024-09-02
2024-09-02,ridge,all_features,0.2,0.325674,407,2024-09-02
2024-09-02,ridge,all_features,0.25,0.239356,407,2024-09-02
2024-09-02,ridge,all_features,0.3,0.150008,407,2024-09-02
2024-09-02,ridge,all_features,0.35,0.075259,407,2024-09-02
2024-09-02,ridge,all_features,0.4,0.022277,407,2024-09-02
2024-09-02,ridge,all_features,0.45,0.003242,407,2024-09-02
2024-09-02,ridge,all_features,0.5,0.0,407,2024-09-02
2024-10-01,ridge,all_features,0.0,1.0,407,2024-10-01
2024-10-01,ridge,all_features,0.05,0.752031,407,2024-10-01
2024-10-01,ridge,all_features,0.1,0.561156,407,2024-10-01
2024-10-01,ridge,all_features,0.15,0.449591,407,2024-10-01
2024-10-01,ridge,all_features,0.2,0.327197,407,2024-10-01
2024-10-01,ridge,all_features,0.25,0.242181,407,2024-10-01
2024-10-01,ridge,all_features,0.3,0.150743,407,2024-10-01
2024-10-01,ridge,all_features,0.35,0.064913,407,2024-10-01
2024-10-01,ridge,all_features,0.4,0.026106,407,2024-10-01
2024-10-01,ridge,all_features,0.45,0.003555,407,2024-10-01
2024-10-01,ridge,all_features,0.5,0.0,407,2024-10-01
2024-11-01,ridge,all_features,0.0,1.0,407,2024-11-01
2024-11-01,ridge,all_features,0.05,0.745965,407,2024-11-01
2024-11-01,ridge,all_features,0.1,0.550658,407,2024-11-01
2024-11-01,ridge,all_features,0.15,0.423062,407,2024-11-01
